DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID)
CIP221,HEALTH-HOME-PROVIDER-NPI,X(10),1426,1435,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP222,MEDICARE-BENEFICIARY-IDENTIFIER,X(12),1436,1447,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP223,OPERATING-PROV-TAXONOMY,X(12),1448,1459,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP224,UNDER-DIRECTION-OF-PROV-NPI,X(10),1460,1469,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP225,UNDER-DIRECTION-OF-PROV-TAXONOMY,X(12),1470,1481,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP226,UNDER-SUPERVISION-OF-PROV-NPI,X(10),1482,1491,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP227,UNDER-SUPERVISION-OF-PROV-TAXONOMY,X(12),1492,1503,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP228,MEDICARE-PAID-AMT,S9(11)V99,1504,1516,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP229,STATE-NOTATION,X(500),1517,2016,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP289,PROV-LOCATION-ID,X(5),2017,2021,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP230,FILLER,X(79),2022,2100,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002
CIP231,RECORD-ID,X(8),1,8,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP232,SUBMITTING-STATE,X(2),9,10,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP233,RECORD-NUMBER,9(11),11,21,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP234,MSIS-IDENTIFICATION-NUM,X(20),22,41,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP235,ICN-ORIG,X(50),42,91,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP236,ICN-ADJ,X(50),92,141,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP237,LINE-NUM-ORIG,X(3),142,144,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP238,LINE-NUM-ADJ,X(3),145,147,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP239,LINE-ADJUSTMENT-IND,X(1),148,148,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP240,LINE-ADJUSTMENT-REASON-CODE,X(3),149,151,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP241,SUBMITTER-ID,X(12),152,163,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP242,CLAIM-LINE-STATUS,X(3),164,166,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP243,BEGINNING-DATE-OF-SERVICE,9(8),167,174,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP244,ENDING-DATE-OF-SERVICE,9(8),175,182,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP245,REVENUE-CODE,X(4),183,186,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP248,IMMUNIZATION-TYPE,X(2),187,188,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP249,IP-LT-QUANTITY-OF-SERVICE-ACTUAL,S9(6)V999,189,197,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP250,IP-LT-QUANTITY-OF-SERVICE-ALLOWED,S9(6)V999,198,206,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP251,REVENUE-CHARGE,S9(11)V99,207,219,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP252,ALLOWED-AMT,S9(11)V99,220,232,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP253,TPL-AMT,S9(11)V99,233,245,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP254,MEDICAID-PAID-AMT,S9(11)V99,246,258,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP255,MEDICAID-FFS-EQUIVALENT-AMT,S9(11)V99,259,271,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP256,BILLING-UNIT,X(2),272,273,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP257,TYPE-OF-SERVICE,X(3),274,276,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP260,SERVICING-PROV-NUM,X(30),277,306,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP261,SERVICING-PROV-NPI-NUM,X(10),307,316,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP262,SERVICING-PROV-TAXONOMY,X(12),317,328,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP263,SERVICING-PROV-TYPE,X(2),329,330,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP264,SERVICING-PROV-SPECIALTY,X(2),331,332,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP265,OPERATING-PROV-NPI-NUM,X(10),333,342,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP266,OTHER-TPL-COLLECTION,X(3),343,345,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP267,PROV-FACILITY-TYPE,X(9),346,354,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP268,BENEFIT-TYPE,X(3),355,357,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP269,CMS-64-CATEGORY-FOR-FEDERAL-REIMBURSEMENT,X(2),358,359,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP270,XIX-MBESCBES-CATEGORY-OF-SERVICE,X(4),360,363,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP271,XXI-MBESCBES-CATEGORY-OF-SERVICE,X(3),364,366,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP272,OTHER-INSURANCE-AMT,S9(11)V99,367,379,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP273,STATE-NOTATION,X(500),380,879,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP279,HCPCS-RATE,X(14),880,893,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP284,NATIONAL-DRUG-CODE,X(12),894,905,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP285,NDC-UNIT-OF-MEASURE,X(2),906,907,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP278,NDC-QUANTITY,S9(6)V999,908,916,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP286,ADJUDICATION-DATE,9(8),917,924,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP287,SELF-DIRECTION-TYPE,X(3),925,927,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP288,PRE-AUTHORIZATION-NUM,X(18),928,945,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CIP274,FILLER,X(1155),946,2100,CLAIMIP,CLAIM-LINE-RECORD-IP-CIP00003
CLT001,RECORD-ID,X(8),1,8,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT002,DATA-DICTIONARY-VERSION,X(10),9,18,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT003,SUBMISSION-TRANSACTION-TYPE,X(1),19,19,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT004,FILE-ENCODING-SPECIFICATION,X(3),20,22,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT005,DATA-MAPPING-DOCUMENT-VERSION,X(9),23,31,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT006,FILE-NAME,X(8),32,39,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT007,SUBMITTING-STATE,X(2),40,41,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT008,DATE-FILE-CREATED,9(8),42,49,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT009,START-OF-TIME-PERIOD,9(8),50,57,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT010,END-OF-TIME-PERIOD,9(8),58,65,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT011,FILE-STATUS-INDICATOR,X(1),66,66,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT012,SSN-INDICATOR,X(1),67,67,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT013,TOT-REC-CNT,9(11),68,78,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT227,SEQUENCE-NUMBER,X(4),79,82,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT014,STATE-NOTATION,X(500),83,582,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT015,FILLER,X(1318),583,1900,CLAIMLT,FILE-HEADER-RECORD-LT-CLT00001
CLT016,RECORD-ID,X(8),1,8,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT017,SUBMITTING-STATE,X(2),9,10,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT018,RECORD-NUMBER,9(11),11,21,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT019,ICN-ORIG,X(50),22,71,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT020,ICN-ADJ,X(50),72,121,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT021,SUBMITTER-ID,X(12),122,133,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT022,MSIS-IDENTIFICATION-NUM,X(20),134,153,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT023,CROSSOVER-INDICATOR,X(1),154,154,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT024,1115A-DEMONSTRATION-IND,X(1),155,155,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT025,ADJUSTMENT-IND,X(1),156,156,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT026,ADJUSTMENT-REASON-CODE,X(3),157,159,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT027,ADMITTING-DIAGNOSIS-CODE,X(7),160,166,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT028,ADMITTING-DIAGNOSIS-CODE-FLAG,X(1),167,167,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT029,DIAGNOSIS-CODE-1,X(7),168,174,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT030,DIAGNOSIS-CODE-FLAG-1,X(1),175,175,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT031,DIAGNOSIS-POA-FLAG-1,X(1),176,176,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT032,DIAGNOSIS-CODE-2,X(7),177,183,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT033,DIAGNOSIS-CODE-FLAG-2,X(1),184,184,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT034,DIAGNOSIS-POA-FLAG-2,X(1),185,185,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT035,DIAGNOSIS-CODE-3,X(7),186,192,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT036,DIAGNOSIS-CODE-FLAG-3,X(1),193,193,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT037,DIAGNOSIS-POA-FLAG-3,X(1),194,194,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT038,DIAGNOSIS-CODE-4,X(7),195,201,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT039,DIAGNOSIS-CODE-FLAG-4,X(1),202,202,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT040,DIAGNOSIS-POA-FLAG-4,X(1),203,203,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT041,DIAGNOSIS-CODE-5,X(7),204,210,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT042,DIAGNOSIS-CODE-FLAG-5,X(1),211,211,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT043,DIAGNOSIS-POA-FLAG-5,X(1),212,212,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT044,ADMISSION-DATE,9(8),213,220,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT045,ADMISSION-HOUR,X(2),221,222,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT046,DISCHARGE-DATE,9(8),223,230,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT047,DISCHARGE-HOUR,X(2),231,232,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT048,BEGINNING-DATE-OF-SERVICE,9(8),233,240,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT049,ENDING-DATE-OF-SERVICE,9(8),241,248,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT050,ADJUDICATION-DATE,9(8),249,256,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT051,MEDICAID-PAID-DATE,9(8),257,264,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT052,TYPE-OF-CLAIM,X(1),265,265,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT053,TYPE-OF-BILL,X(4),266,269,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT054,CLAIM-STATUS,X(3),270,272,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT055,CLAIM-STATUS-CATEGORY,X(3),273,275,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT056,SOURCE-LOCATION,X(2),276,277,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT057,CHECK-NUM,X(15),278,292,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT058,CHECK-EFF-DATE,9(8),293,300,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT059,CLAIM-PYMT-REM-CODE-1,X(5),301,305,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT060,CLAIM-PYMT-REM-CODE-2,X(5),306,310,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT061,CLAIM-PYMT-REM-CODE-3,X(5),311,315,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT062,CLAIM-PYMT-REM-CODE-4,X(5),316,320,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT063,TOT-BILLED-AMT,S9(11)V99,321,333,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT064,TOT-ALLOWED-AMT,S9(11)V99,334,346,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT065,TOT-MEDICAID-PAID-AMT,S9(11)V99,347,359,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT066,TOT-COPAY-AMT,S9(11)V99,360,372,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT067,TOT-MEDICARE-DEDUCTIBLE-AMT,S9(11)V99,373,385,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT068,TOT-MEDICARE-COINS-AMT,S9(11)V99,386,398,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT069,TOT-TPL-AMT,S9(11)V99,399,411,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT070,TOT-OTHER-INSURANCE-AMT,S9(11)V99,412,424,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT071,OTHER-INSURANCE-IND,X(1),425,425,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT072,OTHER-TPL-COLLECTION,X(3),426,428,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT073,SERVICE-TRACKING-TYPE,X(2),429,430,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT074,SERVICE-TRACKING-PAYMENT-AMT,S9(11)V99,431,443,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT075,FIXED-PAYMENT-IND,X(1),444,444,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT076,FUNDING-CODE,X(2),445,446,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT077,FUNDING-SOURCE-NONFEDERAL-SHARE,X(2),447,448,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT078,MEDICARE-COMB-DED-IND,X(1),449,449,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT079,PROGRAM-TYPE,X(2),450,451,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT080,PLAN-ID-NUMBER,X(12),452,463,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT081,NATIONAL-HEALTH-CARE-ENTITY-ID,X(10),464,473,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT082,PAYMENT-LEVEL-IND,X(1),474,474,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT083,MEDICARE-REIM-TYPE,X(2),475,476,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT084,NON-COV-DAYS,S9(5),477,481,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT085,NON-COV-CHARGES,S9(11)V99,482,494,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT086,MEDICAID-COV-INPATIENT-DAYS,S9(5),495,499,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT087,CLAIM-LINE-COUNT,9(4),500,503,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT090,FORCED-CLAIM-IND,X(1),504,504,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT091,HEALTH-CARE-ACQUIRED-CONDITION-IND,X(1),505,505,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT092,OCCURRENCE-CODE-01,X(2),506,507,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT093,OCCURRENCE-CODE-02,X(2),508,509,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT094,OCCURRENCE-CODE-03,X(2),510,511,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT095,OCCURRENCE-CODE-04,X(2),512,513,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT096,OCCURRENCE-CODE-05,X(2),514,515,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT097,OCCURRENCE-CODE-06,X(2),516,517,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT098,OCCURRENCE-CODE-07,X(2),518,519,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT099,OCCURRENCE-CODE-08,X(2),520,521,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT100,OCCURRENCE-CODE-09,X(2),522,523,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT101,OCCURRENCE-CODE-10,X(2),524,525,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT102,OCCURRENCE-CODE-EFF-DATE-01,9(8),526,533,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT103,OCCURRENCE-CODE-EFF-DATE-02,9(8),534,541,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT104,OCCURRENCE-CODE-EFF-DATE-03,9(8),542,549,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT105,OCCURRENCE-CODE-EFF-DATE-04,9(8),550,557,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT106,OCCURRENCE-CODE-EFF-DATE-05,9(8),558,565,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT107,OCCURRENCE-CODE-EFF-DATE-06,9(8),566,573,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT108,OCCURRENCE-CODE-EFF-DATE-07,9(8),574,581,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT109,OCCURRENCE-CODE-EFF-DATE-08,9(8),582,589,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT110,OCCURRENCE-CODE-EFF-DATE-09,9(8),590,597,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT111,OCCURRENCE-CODE-EFF-DATE-10,9(8),598,605,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT112,OCCURRENCE-CODE-END-DATE-01,9(8),606,613,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT113,OCCURRENCE-CODE-END-DATE-02,9(8),614,621,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT114,OCCURRENCE-CODE-END-DATE-03,9(8),622,629,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT115,OCCURRENCE-CODE-END-DATE-04,9(8),630,637,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT116,OCCURRENCE-CODE-END-DATE-05,9(8),638,645,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT117,OCCURRENCE-CODE-END-DATE-06,9(8),646,653,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT118,OCCURRENCE-CODE-END-DATE-07,9(8),654,661,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT119,OCCURRENCE-CODE-END-DATE-08,9(8),662,669,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT120,OCCURRENCE-CODE-END-DATE-09,9(8),670,677,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT121,OCCURRENCE-CODE-END-DATE-10,9(8),678,685,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT122,PATIENT-CONTROL-NUM,X(20),686,705,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT123,ELIGIBLE-LAST-NAME,X(30),706,735,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT124,ELIGIBLE-FIRST-NAME,X(30),736,765,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT125,ELIGIBLE-MIDDLE-INIT,X(1),766,766,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT126,DATE-OF-BIRTH,9(8),767,774,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT127,HEALTH-HOME-PROV-IND,X(1),775,775,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT128,WAIVER-TYPE,X(2),776,777,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT129,WAIVER-ID,X(20),778,797,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT130,BILLING-PROV-NUM,X(30),798,827,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT131,BILLING-PROV-NPI-NUM,X(10),828,837,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT132,BILLING-PROV-TAXONOMY,X(12),838,849,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT133,BILLING-PROV-TYPE,X(2),850,851,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT134,BILLING-PROV-SPECIALTY,X(2),852,853,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT135,REFERRING-PROV-NUM,X(30),854,883,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT136,REFERRING-PROV-NPI-NUM,X(10),884,893,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT137,REFERRING-PROV-TAXONOMY,X(12),894,905,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT138,REFERRING-PROV-TYPE,X(2),906,907,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT139,REFERRING-PROV-SPECIALTY,X(2),908,909,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT140,MEDICARE-HIC-NUM,X(12),910,921,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT141,PATIENT-STATUS,X(2),922,923,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT143,BMI,S9(5)V9,924,929,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT144,REMITTANCE-NUM,X(30),930,959,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT145,LTC-RCP-LIAB-AMT,S9(11)V99,960,972,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT146,DAILY-RATE,S9(5)V99,973,979,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT147,ICF-IID-DAYS,S9(5),980,984,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT148,LEAVE-DAYS,S9(5),985,989,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT149,NURSING-FACILITY-DAYS,S9(5),990,994,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT150,SPLIT-CLAIM-IND,X(1),995,995,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT151,BORDER-STATE-IND,X(1),996,996,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT153,BENEFICIARY-COINSURANCE-AMOUNT,S9(11)V99,997,1009,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT154,BENEFICIARY-COINSURANCE-DATE-PAID,9(8),1010,1017,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT155,BENEFICIARY-COPAYMENT-AMOUNT,S9(11)V99,1018,1030,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT156,BENEFICIARY-COPAYMENT-DATE-PAID,9(8),1031,1038,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT157,BENEFICIARY-DEDUCTIBLE-AMOUNT,S9(11)V99,1039,1051,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT158,BENEFICIARY-DEDUCTIBLE-DATE-PAID,9(8),1052,1059,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT159,CLAIM-DENIED-INDICATOR,X(1),1060,1060,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT160,COPAY-WAIVED-IND,X(1),1061,1061,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT161,HEALTH-HOME-ENTITY-NAME,X(50),1062,1111,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT163,THIRD-PARTY-COINSURANCE-AMOUNT-PAID,S9(11)V99,1112,1124,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT164,THIRD-PARTY-COINSURANCE-DATE-PAID,9(8),1125,1132,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT165,THIRD-PARTY-COPAYMENT-AMOUNT-PAID,S9(11)V99,1133,1145,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
CLT166,THIRD-PARTY-COPAYMENT-DATE-PAID,9(8),1146,1153,CLAIMLT,CLAIM-HEADER-RECORD-LT-CLT00002
