Code,Type,Definition
O30221,ICD-10-CM,"Quadruplet pregnancy with two or more monoamniotic fetuses, first trimester"
O30222,ICD-10-CM,"Quadruplet pregnancy with two or more monoamniotic fetuses, second trimester"
O30223,ICD-10-CM,"Quadruplet pregnancy with two or more monoamniotic fetuses, third trimester"
O30229,ICD-10-CM,"Quadruplet pregnancy with two or more monoamniotic fetuses, unspecified trimester"
O30291,ICD-10-CM,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30292,ICD-10-CM,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30293,ICD-10-CM,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30299,ICD-10-CM,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30801,ICD-10-CM,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30802,ICD-10-CM,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30803,ICD-10-CM,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30809,ICD-10-CM,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30811,ICD-10-CM,"Other specified multiple gestation with two or more monochorionic fetuses, first trimester"
O30812,ICD-10-CM,"Other specified multiple gestation with two or more monochorionic fetuses, second trimester"
O30813,ICD-10-CM,"Other specified multiple gestation with two or more monochorionic fetuses, third trimester"
O30819,ICD-10-CM,"Other specified multiple gestation with two or more monochorionic fetuses, unspecified trimester"
O30821,ICD-10-CM,"Other specified multiple gestation with two or more monoamniotic fetuses, first trimester"
O30822,ICD-10-CM,"Other specified multiple gestation with two or more monoamniotic fetuses, second trimester"
O30823,ICD-10-CM,"Other specified multiple gestation with two or more monoamniotic fetuses, third trimester"
O30829,ICD-10-CM,"Other specified multiple gestation with two or more monoamniotic fetuses, unspecified trimester"
O30891,ICD-10-CM,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30892,ICD-10-CM,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30893,ICD-10-CM,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30899,ICD-10-CM,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O3090,ICD-10-CM,"Multiple gestation, unspecified, unspecified trimester"
O3091,ICD-10-CM,"Multiple gestation, unspecified, first trimester"
O3092,ICD-10-CM,"Multiple gestation, unspecified, second trimester"
O3093,ICD-10-CM,"Multiple gestation, unspecified, third trimester"
O3100X0,ICD-10-CM,"Papyraceous fetus, unspecified trimester, not applicable or unspecified"
O3100X1,ICD-10-CM,"Papyraceous fetus, unspecified trimester, fetus 1"
O3100X2,ICD-10-CM,"Papyraceous fetus, unspecified trimester, fetus 2"
O3100X3,ICD-10-CM,"Papyraceous fetus, unspecified trimester, fetus 3"
O3100X4,ICD-10-CM,"Papyraceous fetus, unspecified trimester, fetus 4"
O3100X5,ICD-10-CM,"Papyraceous fetus, unspecified trimester, fetus 5"
O3100X9,ICD-10-CM,"Papyraceous fetus, unspecified trimester, other fetus"
O3101X0,ICD-10-CM,"Papyraceous fetus, first trimester, not applicable or unspecified"
O3101X1,ICD-10-CM,"Papyraceous fetus, first trimester, fetus 1"
O3101X2,ICD-10-CM,"Papyraceous fetus, first trimester, fetus 2"
O3101X3,ICD-10-CM,"Papyraceous fetus, first trimester, fetus 3"
O3101X4,ICD-10-CM,"Papyraceous fetus, first trimester, fetus 4"
O3101X5,ICD-10-CM,"Papyraceous fetus, first trimester, fetus 5"
O3101X9,ICD-10-CM,"Papyraceous fetus, first trimester, other fetus"
O3102X0,ICD-10-CM,"Papyraceous fetus, second trimester, not applicable or unspecified"
O3102X1,ICD-10-CM,"Papyraceous fetus, second trimester, fetus 1"
O3102X2,ICD-10-CM,"Papyraceous fetus, second trimester, fetus 2"
O3102X3,ICD-10-CM,"Papyraceous fetus, second trimester, fetus 3"
O3102X4,ICD-10-CM,"Papyraceous fetus, second trimester, fetus 4"
O3102X5,ICD-10-CM,"Papyraceous fetus, second trimester, fetus 5"
O3102X9,ICD-10-CM,"Papyraceous fetus, second trimester, other fetus"
O3103X0,ICD-10-CM,"Papyraceous fetus, third trimester, not applicable or unspecified"
O3103X1,ICD-10-CM,"Papyraceous fetus, third trimester, fetus 1"
O3103X2,ICD-10-CM,"Papyraceous fetus, third trimester, fetus 2"
O3103X3,ICD-10-CM,"Papyraceous fetus, third trimester, fetus 3"
O3103X4,ICD-10-CM,"Papyraceous fetus, third trimester, fetus 4"
O3103X5,ICD-10-CM,"Papyraceous fetus, third trimester, fetus 5"
O3103X9,ICD-10-CM,"Papyraceous fetus, third trimester, other fetus"
O3110X0,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, not applicable or unspecified"
O3110X1,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 1"
O3110X2,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 2"
O3110X3,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 3"
O3110X4,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 4"
O3110X5,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 5"
O3110X9,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, other fetus"
O3111X0,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified"
O3111X1,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 1"
O3111X2,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 2"
O3111X3,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 3"
O3111X4,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 4"
O3111X5,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 5"
O3111X9,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, other fetus"
O3112X0,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
O3112X1,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 1"
O3112X2,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 2"
O3112X3,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 3"
O3112X4,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 4"
O3112X5,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 5"
O3112X9,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, other fetus"
O3113X0,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
O3113X1,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 1"
O3113X2,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 2"
O3113X3,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 3"
O3113X4,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 4"
O3113X5,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 5"
O3113X9,ICD-10-CM,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, other fetus"
O3120X0,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"
O3120X1,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 1"
O3120X2,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 2"
O3120X3,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 3"
O3120X4,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 4"
O3120X5,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 5"
O3120X9,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, other fetus"
O3121X0,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified"
O3121X1,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 1"
O3121X2,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 2"
O3121X3,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 3"
O3121X4,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 4"
O3121X5,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 5"
O3121X9,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, other fetus"
O3122X0,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, not applicable or unspecified"
O3122X1,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 1"
O3122X2,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 2"
O3122X3,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 3"
O3122X4,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 4"
O3122X5,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 5"
O3122X9,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, other fetus"
O3123X0,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, not applicable or unspecified"
O3123X1,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 1"
O3123X2,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 2"
O3123X3,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 3"
O3123X4,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 4"
O3123X5,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 5"
O3123X9,ICD-10-CM,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, other fetus"
O3130X0,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified"
O3130X1,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 1"
O3130X2,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 2"
O3130X3,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 3"
O3130X4,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 4"
O3130X5,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 5"
O3130X9,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, other fetus"
O3131X0,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified"
O3131X1,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 1"
O3131X2,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 2"
O3131X3,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 3"
O3131X4,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 4"
O3131X5,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 5"
O3131X9,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, other fetus"
O3132X0,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, not applicable or unspecified"
O3132X1,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 1"
O3132X2,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 2"
O3132X3,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 3"
O3132X4,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 4"
O3132X5,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 5"
O3132X9,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, other fetus"
O3133X0,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, not applicable or unspecified"
O3133X1,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 1"
O3133X2,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 2"
O3133X3,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 3"
O3133X4,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 4"
O3133X5,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 5"
O3133X9,ICD-10-CM,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, other fetus"
O318X10,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, not applicable or unspecified"
O318X11,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, fetus 1"
O318X12,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, fetus 2"
O318X13,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, fetus 3"
O318X14,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, fetus 4"
O318X15,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, fetus 5"
O318X19,ICD-10-CM,"Other complications specific to multiple gestation, first trimester, other fetus"
O318X20,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, not applicable or unspecified"
O318X21,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, fetus 1"
O318X22,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, fetus 2"
O318X23,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, fetus 3"
O318X24,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, fetus 4"
O318X25,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, fetus 5"
O318X29,ICD-10-CM,"Other complications specific to multiple gestation, second trimester, other fetus"
O318X30,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, not applicable or unspecified"
O318X31,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, fetus 1"
O318X32,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, fetus 2"
O318X33,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, fetus 3"
O318X34,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, fetus 4"
O318X35,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, fetus 5"
O318X39,ICD-10-CM,"Other complications specific to multiple gestation, third trimester, other fetus"
O318X90,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, not applicable or unspecified"
O318X91,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, fetus 1"
O318X92,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, fetus 2"
O318X93,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, fetus 3"
O318X94,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, fetus 4"
O318X95,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, fetus 5"
O318X99,ICD-10-CM,"Other complications specific to multiple gestation, unspecified trimester, other fetus"
O320XX0,ICD-10-CM,"Maternal care for unstable lie, not applicable or unspecified"
O320XX1,ICD-10-CM,"Maternal care for unstable lie, fetus 1"
O320XX2,ICD-10-CM,"Maternal care for unstable lie, fetus 2"
O320XX3,ICD-10-CM,"Maternal care for unstable lie, fetus 3"
O320XX4,ICD-10-CM,"Maternal care for unstable lie, fetus 4"
O320XX5,ICD-10-CM,"Maternal care for unstable lie, fetus 5"
O320XX9,ICD-10-CM,"Maternal care for unstable lie, other fetus"
O321XX0,ICD-10-CM,"Maternal care for breech presentation, not applicable or unspecified"
O321XX1,ICD-10-CM,"Maternal care for breech presentation, fetus 1"
O321XX2,ICD-10-CM,"Maternal care for breech presentation, fetus 2"
O321XX3,ICD-10-CM,"Maternal care for breech presentation, fetus 3"
O321XX4,ICD-10-CM,"Maternal care for breech presentation, fetus 4"
O321XX5,ICD-10-CM,"Maternal care for breech presentation, fetus 5"
O321XX9,ICD-10-CM,"Maternal care for breech presentation, other fetus"
O322XX0,ICD-10-CM,"Maternal care for transverse and oblique lie, not applicable or unspecified"
O322XX1,ICD-10-CM,"Maternal care for transverse and oblique lie, fetus 1"
O322XX2,ICD-10-CM,"Maternal care for transverse and oblique lie, fetus 2"
O322XX3,ICD-10-CM,"Maternal care for transverse and oblique lie, fetus 3"
O322XX4,ICD-10-CM,"Maternal care for transverse and oblique lie, fetus 4"
O322XX5,ICD-10-CM,"Maternal care for transverse and oblique lie, fetus 5"
O322XX9,ICD-10-CM,"Maternal care for transverse and oblique lie, other fetus"
O323XX0,ICD-10-CM,"Maternal care for face, brow and chin presentation, not applicable or unspecified"
O323XX1,ICD-10-CM,"Maternal care for face, brow and chin presentation, fetus 1"
O323XX2,ICD-10-CM,"Maternal care for face, brow and chin presentation, fetus 2"
O323XX3,ICD-10-CM,"Maternal care for face, brow and chin presentation, fetus 3"
O323XX4,ICD-10-CM,"Maternal care for face, brow and chin presentation, fetus 4"
O323XX5,ICD-10-CM,"Maternal care for face, brow and chin presentation, fetus 5"
O323XX9,ICD-10-CM,"Maternal care for face, brow and chin presentation, other fetus"
O324XX0,ICD-10-CM,"Maternal care for high head at term, not applicable or unspecified"
O324XX1,ICD-10-CM,"Maternal care for high head at term, fetus 1"
O324XX2,ICD-10-CM,"Maternal care for high head at term, fetus 2"
O324XX3,ICD-10-CM,"Maternal care for high head at term, fetus 3"
O324XX4,ICD-10-CM,"Maternal care for high head at term, fetus 4"
O324XX5,ICD-10-CM,"Maternal care for high head at term, fetus 5"
O324XX9,ICD-10-CM,"Maternal care for high head at term, other fetus"
O326XX0,ICD-10-CM,"Maternal care for compound presentation, not applicable or unspecified"
O326XX1,ICD-10-CM,"Maternal care for compound presentation, fetus 1"
O326XX2,ICD-10-CM,"Maternal care for compound presentation, fetus 2"
O326XX3,ICD-10-CM,"Maternal care for compound presentation, fetus 3"
O326XX4,ICD-10-CM,"Maternal care for compound presentation, fetus 4"
O326XX5,ICD-10-CM,"Maternal care for compound presentation, fetus 5"
O326XX9,ICD-10-CM,"Maternal care for compound presentation, other fetus"
O328XX0,ICD-10-CM,"Maternal care for other malpresentation of fetus, not applicable or unspecified"
O328XX1,ICD-10-CM,"Maternal care for other malpresentation of fetus, fetus 1"
O328XX2,ICD-10-CM,"Maternal care for other malpresentation of fetus, fetus 2"
O328XX3,ICD-10-CM,"Maternal care for other malpresentation of fetus, fetus 3"
O328XX4,ICD-10-CM,"Maternal care for other malpresentation of fetus, fetus 4"
O328XX5,ICD-10-CM,"Maternal care for other malpresentation of fetus, fetus 5"
O328XX9,ICD-10-CM,"Maternal care for other malpresentation of fetus, other fetus"
O329XX0,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
O329XX1,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, fetus 1"
O329XX2,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, fetus 2"
O329XX3,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, fetus 3"
O329XX4,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, fetus 4"
O329XX5,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, fetus 5"
O329XX9,ICD-10-CM,"Maternal care for malpresentation of fetus, unspecified, other fetus"
O330,ICD-10-CM,Maternal care for disproportion due to deformity of maternal pelvic bones
O331,ICD-10-CM,Maternal care for disproportion due to generally contracted pelvis
O332,ICD-10-CM,Maternal care for disproportion due to inlet contraction of pelvis
O333XX0,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, not applicable or unspecified"
O333XX1,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 1"
O333XX2,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 2"
O333XX3,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 3"
O333XX4,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 4"
O333XX5,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 5"
O333XX9,ICD-10-CM,"Maternal care for disproportion due to outlet contraction of pelvis, other fetus"
O334XX0,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified"
O334XX1,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 1"
O334XX2,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 2"
O334XX3,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 3"
O334XX4,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 4"
O334XX5,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 5"
O334XX9,ICD-10-CM,"Maternal care for disproportion of mixed maternal and fetal origin, other fetus"
O335XX0,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, not applicable or unspecified"
O335XX1,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, fetus 1"
O335XX2,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, fetus 2"
O335XX3,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, fetus 3"
O335XX4,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, fetus 4"
O335XX5,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, fetus 5"
O335XX9,ICD-10-CM,"Maternal care for disproportion due to unusually large fetus, other fetus"
O336XX0,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, not applicable or unspecified"
O336XX1,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, fetus 1"
O336XX2,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, fetus 2"
O336XX3,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, fetus 3"
O336XX4,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, fetus 4"
O336XX5,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, fetus 5"
O336XX9,ICD-10-CM,"Maternal care for disproportion due to hydrocephalic fetus, other fetus"
O337XX0,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, not applicable or unspecified"
O337XX1,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, fetus 1"
O337XX2,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, fetus 2"
O337XX3,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, fetus 3"
O337XX4,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, fetus 4"
O337XX5,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, fetus 5"
O337XX9,ICD-10-CM,"Maternal care for disproportion due to other fetal deformities, other fetus"
O338,ICD-10-CM,Maternal care for disproportion of other origin
O339,ICD-10-CM,"Maternal care for disproportion, unspecified"
O3400,ICD-10-CM,"Maternal care for unspecified congenital malformation of uterus, unspecified trimester"
O3401,ICD-10-CM,"Maternal care for unspecified congenital malformation of uterus, first trimester"
O3402,ICD-10-CM,"Maternal care for unspecified congenital malformation of uterus, second trimester"
O3403,ICD-10-CM,"Maternal care for unspecified congenital malformation of uterus, third trimester"
O3410,ICD-10-CM,"Maternal care for benign tumor of corpus uteri, unspecified trimester"
O3411,ICD-10-CM,"Maternal care for benign tumor of corpus uteri, first trimester"
O3412,ICD-10-CM,"Maternal care for benign tumor of corpus uteri, second trimester"
O3413,ICD-10-CM,"Maternal care for benign tumor of corpus uteri, third trimester"
O34211,ICD-10-CM,Maternal care for low transverse scar from previous cesarean delivery
O34212,ICD-10-CM,Maternal care for vertical scar from previous cesarean delivery
O34219,ICD-10-CM,Maternal care for unspecified type scar from previous cesarean delivery
O3429,ICD-10-CM,Maternal care due to uterine scar from other previous surgery
O3430,ICD-10-CM,"Maternal care for cervical incompetence, unspecified trimester"
O3431,ICD-10-CM,"Maternal care for cervical incompetence, first trimester"
O3432,ICD-10-CM,"Maternal care for cervical incompetence, second trimester"
O3433,ICD-10-CM,"Maternal care for cervical incompetence, third trimester"
O3440,ICD-10-CM,"Maternal care for other abnormalities of cervix, unspecified trimester"
O3441,ICD-10-CM,"Maternal care for other abnormalities of cervix, first trimester"
O3442,ICD-10-CM,"Maternal care for other abnormalities of cervix, second trimester"
O3443,ICD-10-CM,"Maternal care for other abnormalities of cervix, third trimester"
O34511,ICD-10-CM,"Maternal care for incarceration of gravid uterus, first trimester"
O34512,ICD-10-CM,"Maternal care for incarceration of gravid uterus, second trimester"
O34513,ICD-10-CM,"Maternal care for incarceration of gravid uterus, third trimester"
O34519,ICD-10-CM,"Maternal care for incarceration of gravid uterus, unspecified trimester"
O34521,ICD-10-CM,"Maternal care for prolapse of gravid uterus, first trimester"
O34522,ICD-10-CM,"Maternal care for prolapse of gravid uterus, second trimester"
O34523,ICD-10-CM,"Maternal care for prolapse of gravid uterus, third trimester"
O34529,ICD-10-CM,"Maternal care for prolapse of gravid uterus, unspecified trimester"
O34531,ICD-10-CM,"Maternal care for retroversion of gravid uterus, first trimester"
O34532,ICD-10-CM,"Maternal care for retroversion of gravid uterus, second trimester"
O34533,ICD-10-CM,"Maternal care for retroversion of gravid uterus, third trimester"
O34539,ICD-10-CM,"Maternal care for retroversion of gravid uterus, unspecified trimester"
O34591,ICD-10-CM,"Maternal care for other abnormalities of gravid uterus, first trimester"
O34592,ICD-10-CM,"Maternal care for other abnormalities of gravid uterus, second trimester"
O34593,ICD-10-CM,"Maternal care for other abnormalities of gravid uterus, third trimester"
O34599,ICD-10-CM,"Maternal care for other abnormalities of gravid uterus, unspecified trimester"
O3460,ICD-10-CM,"Maternal care for abnormality of vagina, unspecified trimester"
O3461,ICD-10-CM,"Maternal care for abnormality of vagina, first trimester"
O3462,ICD-10-CM,"Maternal care for abnormality of vagina, second trimester"
O3463,ICD-10-CM,"Maternal care for abnormality of vagina, third trimester"
O3470,ICD-10-CM,"Maternal care for abnormality of vulva and perineum, unspecified trimester"
O3471,ICD-10-CM,"Maternal care for abnormality of vulva and perineum, first trimester"
O3472,ICD-10-CM,"Maternal care for abnormality of vulva and perineum, second trimester"
O3473,ICD-10-CM,"Maternal care for abnormality of vulva and perineum, third trimester"
O3480,ICD-10-CM,"Maternal care for other abnormalities of pelvic organs, unspecified trimester"
O3481,ICD-10-CM,"Maternal care for other abnormalities of pelvic organs, first trimester"
O3482,ICD-10-CM,"Maternal care for other abnormalities of pelvic organs, second trimester"
O3483,ICD-10-CM,"Maternal care for other abnormalities of pelvic organs, third trimester"
O3490,ICD-10-CM,"Maternal care for abnormality of pelvic organ, unspecified, unspecified trimester"
